compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, others
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, angry
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, others
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, angry
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, others
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, others
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, others
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, others
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, others
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, others
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, angry
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, others
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, others
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, sad
compound: -0.296, neg: 0.688, neu: 0.312, pos: 0.0, others
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, happy
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, sad
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, angry
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, sad
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, sad
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, others
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, happy
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, angry
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, others
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, sad
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, others
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, sad
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, others
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, happy
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, others
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, angry
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, others
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, happy
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, angry
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, angry
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, others
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, others
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, others
compound: 0.4939, neg: 0.0, neu: 0.238, pos: 0.762, others
